ensemble,d,K,rho,tau,n_trials,spectral_P,spectral_mean,spectral_std,krylov_P,krylov_mean,krylov_std,moment_P
canonical,32,10,0.009765625,0.99,200,1.0,0.227386452451849,0.11355972998637216,1.0,0.0667567372282711,0.06185429506303309,0.5
canonical,32,17,0.0166015625,0.99,200,1.0,0.2979414363706128,0.18318264179546867,0.96,0.14592984605628706,0.21192273402262823,0.36
canonical,32,24,0.0234375,0.99,200,1.0,0.4822558383344605,0.2713908073882527,0.765,0.4101622103955498,0.38882022354654644,0.27
canonical,32,31,0.0302734375,0.99,200,1.0,0.6912797056402274,0.3000625423883641,0.45,0.7052671306196712,0.4022523526555651,0.155
canonical,32,34,0.033203125,0.99,200,1.0,0.7771089727498278,0.26714800260738214,0.415,0.7959691147365772,0.3454141568233703,0.115
canonical,32,38,0.037109375,0.99,200,0.965,0.8399610234927818,0.24571046117838302,0.485,0.8319759301038965,0.3017321564041074,0.08
canonical,32,42,0.041015625,0.99,200,0.915,0.8781474381299981,0.22851385779680802,0.565,0.8611948845516735,0.27208376713329246,0.065
canonical,32,46,0.044921875,0.99,200,0.755,0.8998540343873189,0.22620058177251237,0.58,0.8796398662636069,0.25808611663346126,0.065
canonical,32,50,0.048828125,0.99,200,0.65,0.9273735695652064,0.1867081747844141,0.59,0.9072621755697489,0.2182667883077671,0.045
canonical,32,53,0.0517578125,0.99,200,0.55,0.9484328181898846,0.16388675155969543,0.54,0.9326634663203595,0.1896500365756302,0.035
canonical,32,57,0.0556640625,0.99,200,0.435,0.960947397829872,0.14289876376783403,0.45,0.9484505153470733,0.16533249096416874,0.01
canonical,32,61,0.0595703125,0.99,200,0.34,0.9735293170509763,0.1095794064909546,0.415,0.9622931006416111,0.13318129626153352,0.0
canonical,32,65,0.0634765625,0.99,200,0.275,0.9769853189651648,0.10651568991123549,0.335,0.967566976753892,0.13184288410702297,0.0
canonical,32,68,0.06640625,0.99,200,0.225,0.9811521825278982,0.0984360057286292,0.26,0.9729289018912908,0.11777265542013753,0.0
canonical,32,72,0.0703125,0.99,200,0.195,0.98548875413416,0.08541763207732894,0.21,0.9801265010871636,0.09954326361032972,0.0
canonical,32,76,0.07421875,0.99,200,0.175,0.9908301595853949,0.048940588104583405,0.215,0.9847826611760303,0.06806598722583465,0.0
canonical,32,80,0.078125,0.99,200,0.11,0.9924014703834595,0.060700858088622744,0.11,0.990665076225255,0.07007600505678702,0.0
canonical,32,84,0.08203125,0.99,200,0.075,0.9939622385056339,0.056272159330540576,0.075,0.9921782368297599,0.06861388967962385,0.0
canonical,32,87,0.0849609375,0.99,200,0.1,0.9967242691534159,0.011732998515729067,0.09,0.9945578560670382,0.021787812703719867,0.0
canonical,32,91,0.0888671875,0.99,200,0.04,0.9988545779350793,0.005534472800560177,0.04,0.9982561826639291,0.009649460537507884,0.0
canonical,32,95,0.0927734375,0.99,200,0.025,0.9990338659045329,0.006068195580947351,0.025,0.9982021593075561,0.011820172021196864,0.0
canonical,32,99,0.0966796875,0.99,200,0.015,0.9996795075375513,0.0018798777213628406,0.015,0.9997184171922021,0.002165414845414821,0.0
canonical,32,102,0.099609375,0.99,200,0.025,0.9994762852569928,0.0030994035885521984,0.025,0.9991571428860897,0.00584388158926315,0.0
canonical,32,123,0.1201171875,0.99,200,0.005,0.9999327774100064,0.0007929290655945102,0.005,0.999868254996392,0.0015774163239224562,0.0
canonical,32,143,0.1396484375,0.99,200,0.005,0.9999055173538011,0.0008408776823444415,0.005,0.9998135777329213,0.0016742462248089014,0.0
canonical,32,164,0.16015625,0.99,200,0.0,0.999999167645607,6.046804356123504e-07,0.0,1.0,3.2158161373719274e-16,0.0
canonical,32,184,0.1796875,0.99,200,0.0,0.9999992843196489,4.497367453910569e-07,0.0,1.0,3.459551856295847e-16,0.0
canonical,32,10,0.009765625,0.95,200,1.0,0.2179629506939936,0.11600580672249987,1.0,0.06353178339775564,0.0634815821245439,0.5
canonical,32,17,0.0166015625,0.95,200,1.0,0.3137675043011184,0.18068823094531147,0.96,0.15415947390252865,0.21150647708380543,0.36
canonical,32,24,0.0234375,0.95,200,1.0,0.474052321531876,0.2700402125262832,0.745,0.4186497253756214,0.39939090656699666,0.27
canonical,32,31,0.0302734375,0.95,200,0.975,0.6891643903846284,0.30110248614979995,0.45,0.6996112687822778,0.4024679045905596,0.155
canonical,32,34,0.033203125,0.95,200,0.855,0.7830500263496945,0.27037840350253906,0.405,0.790824991132712,0.34401240045822684,0.115
canonical,32,38,0.037109375,0.95,200,0.66,0.8439289231209745,0.2501450868651429,0.415,0.8419329893926286,0.30153176303214957,0.08
canonical,32,42,0.041015625,0.95,200,0.455,0.880638155151046,0.22453244190912455,0.415,0.8632624626317598,0.27402238072140034,0.065
canonical,32,46,0.044921875,0.95,200,0.305,0.901947661698444,0.22576374090470103,0.4,0.881474894631729,0.2573323181611381,0.065
